id;brand;model;first_reg;fuel;mileage_km;seller_type;swift;price;power_hp
0;mercedes-benz;a 180;02-2010;d;165000;p;Automatic;7000;109
1;mercedes-benz;glk 220;02-2010;d;268000;d;Automatic;11900;170
2;mercedes-benz;c 350;07-2010;d;197000;p;Manual;11500;231
3;mercedes-benz;a 180;10-2010;d;165000;d;Manual;3200;109
4;mercedes-benz;cla 180;01-2010;l;210000;p;Manual;5500;95
5;mercedes-benz;c 200;05-2010;d;176000;p;Manual;6500;136
6;mercedes-benz;e 220;11-2010;d;209000;p;Automatic;13000;170
7;mercedes-benz;c 200;03-2010;d;190000;p;Manual;7500;136
8;mercedes-benz;e 250;02-2010;d;270000;p;Automatic;12000;204
9;mercedes-benz;c 220;04-2010;d;174000;d;Automatic;13950;170
10;mercedes-benz;b 200;08-2010;d;193436;d;Automatic;5350;140
11;mercedes-benz;s 400;06-2010;2;309000;p;Manual;13900;279
12;mercedes-benz;c 180;06-2010;b;118000;d;Manual;12200;156
13;mercedes-benz;c 250;04-2010;d;265000;p;Automatic;8000;204
14;mercedes-benz;a 160;03-2010;d;175480;p;Automatic;5500;82
15;mercedes-benz;c 250;01-2010;d;105000;p;Manual;9500;204
16;mercedes-benz;a 160;01-2010;b;98750;d;Manual;6100;95
17;mercedes-benz;s 350;11-2010;d;205500;d;Manual;18500;235
18;mercedes-benz;e 250;06-2010;d;166500;p;Automatic;13000;204
19;mercedes-benz;c 350;07-2010;d;200000;p;Manual;13800;231
20;mercedes-benz;s 350;05-2010;d;168000;d;Automatic;20900;235
21;mercedes-benz;e 200;10-2010;d;235000;p;Automatic;12800;136
22;mercedes-benz;cls 350;05-2010;d;185000;d;Automatic;12850;224
23;mercedes-benz;e 250;06-2010;d;260000;d;Automatic;5499;204
24;mercedes-benz;c 220;03-2010;d;168000;p;Automatic;9500;170
25;mercedes-benz;e 220;11-2010;d;150000;d;Automatic;13900;170
26;mercedes-benz;a 160;02-2010;d;199000;d;Automatic;5300;82
27;mercedes-benz;e 250;12-2010;d;195000;p;Automatic;16000;204
28;mercedes-benz;s 350;12-2010;d;198000;d;Manual;20800;235
29;mercedes-benz;c 220;01-2010;d;159000;d;Manual;6990;136
30;mercedes-benz;c 220;09-2010;d;179000;d;Manual;10900;170
31;mercedes-benz;c 200;04-2010;d;50000;d;Manual;13400;136
32;mercedes-benz;e 250;10-2010;d;300000;p;Manual;8000;204
33;mercedes-benz;a 160;06-2010;d;219000;d;Automatic;4900;82
34;mercedes-benz;a 160;12-2010;b;168000;d;Manual;4050;95
35;mercedes-benz;a 160;07-2010;b;139000;d;Automatic;6900;95
36;mercedes-benz;c 220;06-2010;d;52000;p;Automatic;11990;170
37;mercedes-benz;a 160;06-2010;b;174500;p;Manual;4000;95
38;mercedes-benz;c 200;02-2010;d;228000;d;Manual;5500;136
39;mercedes-benz;a 160;10-2010;d;163000;p;Manual;8000;82
40;mercedes-benz;s 320;04-2010;d;260000;p;Automatic;14500;235
41;mercedes-benz;c 200;06-2010;d;260000;p;Automatic;7900;136
42;mercedes-benz;s 350;06-2010;d;196000;d;Automatic;22800;235
43;mercedes-benz;ce 200;03-2010;d;180000;p;Manual;4600;131
44;mercedes-benz;c 220;06-2010;d;239026;d;Automatic;7749;170
45;mercedes-benz;a 160;09-2010;b;139000;d;Manual;4800;95
46;mercedes-benz;cls 320;12-2010;d;150000;p;Automatic;13000;224
47;mercedes-benz;a 160;10-2010;d;239000;d;Manual;4790;84
48;mercedes-benz;a 160;10-2010;d;239000;d;Manual;4790;83
49;mercedes-benz;s 350;03-2010;d;110000;d;Manual;28500;235
50;mercedes-benz;c 220;06-2010;d;220000;p;Manual;7500;170
51;mercedes-benz;e 220;10-2010;d;223000;p;Manual;9000;170
52;mercedes-benz;a 160;03-2010;b;143000;d;Manual;5700;95
53;mercedes-benz;c 220;12-2010;d;126000;p;Automatic;12000;170
54;mercedes-benz;c 220;06-2010;d;183000;p;Automatic;9999;170
55;mercedes-benz;e 350;08-2010;d;210000;p;Automatic;14999;231
56;mercedes-benz;c 220;04-2010;d;195000;p;Automatic;9900;170
57;mercedes-benz;e 250;09-2010;d;155000;p;Automatic;11500;204
58;mercedes-benz;e 350;04-2010;d;147000;p;Manual;11999;231
59;mercedes-benz;c 200;02-2010;d;310000;p;Automatic;6500;136
60;mercedes-benz;a 160;02-2010;d;77000;d;Automatic;6990;82
61;mercedes-benz;b 200;02-2010;d;190000;d;Automatic;6400;140
62;mercedes-benz;a 160;05-2010;b;189000;d;Manual;4697;95
63;mercedes-benz;c 200;04-2010;d;240000;p;Manual;6500;136
64;mercedes-benz;a 160;09-2010;b;110000;d;Manual;5900;95
65;mercedes-benz;e 220;05-2010;d;138000;d;Automatic;14999;170
66;mercedes-benz;a 180;02-2010;d;190000;d;Manual;5900;109
67;mercedes-benz;a 160;07-2010;l;177000;d;Manual;5900;95
68;mercedes-benz;a 160;10-2010;d;179000;d;Automatic;4900;""">8"
69;mercedes-benz;c 200;11-2010;d;67000;p;Manual;16500;136
70;mercedes-benz;c 200;04-2010;d;67000;p;Manual;16500;136
71;mercedes-benz;a 150;11-2010;b;100000;d;Manual;6490;95
72;mercedes-benz;e 220;09-2010;d;5000;p;Manual;10500;170
73;mercedes-benz;e 200;06-2010;d;616000;p;Automatic;7800;136
74;mercedes-benz;e 250;11-2010;d;275000;d;Manual;8000;204
75;mercedes-benz;a 160;04-2010;d;170000;d;Manual;6690;82
76;mercedes-benz;c 200;07-2010;d;144000;d;Automatic;9990;136
77;mercedes-benz;e 250;06-2010;d;166500;p;Automatic;13000;204
78;mercedes-benz;e 200;01-2010;d;72000;p;Manual;15000;136
79;mercedes-benz;c 350;07-2010;d;165000;p;Manual;10000;224
80;mercedes-benz;e 250;04-2010;d;170000;p;Manual;8500;204
81;mercedes-benz;c 220;09-2010;d;244000;p;Manual;8200;170
82;mercedes-benz;a 180;10-2010;d;181000;d;Automatic;4900;109
83;mercedes-benz;c 220;05-2010;d;184000;d;Automatic;10900;170
84;mercedes-benz;c 220;02-2010;d;163000;p;Manual;12300;170
85;mercedes-benz;cls 350;03-2010;d;284000;p;Manual;12600;224
86;mercedes-benz;e 220;02-2010;d;210000;p;Automatic;10000;170
87;mercedes-benz;s 350;06-2010;d;217100;p;Automatic;17500;235
88;mercedes-benz;a 180;06-2010;b;94800;d;Manual;8900;116
89;mercedes-benz;e 220;05-2010;d;181000;p;Automatic;10900;170
90;mercedes-benz;c 220;11-2010;d;200000;p;Manual;9500;170
91;mercedes-benz;a 160;01-2010;b;116000;d;Manual;6200;95
